label_key	display_label	canonical_label	method_key	method_label	rank_col	k	bootstrap_replicates	mean_recovery	median_recovery	sd_recovery	ci95_low	ci95_high
base_editor_positive	Base-editor positives	BE_positive	supervised_atlas_model	Supervised atlas model	rank_hgb_all_pu_oof	500	1000	0.20918	0.21	0.03555547484975824	0.14	0.28
base_editor_positive	Base-editor positives	BE_positive	supervised_atlas_model	Supervised atlas model	rank_hgb_all_pu_oof	1000	1000	0.31926	0.32	0.0421690719678609	0.24	0.4
topo_seq_positive	TOPO-seq positives	TOPO_positive	sequence_baseline	Sequence baseline	rank_sequence_low_mismatch_stable	10	1000	0.00171	0.0	0.004170526740508119	0.0	0.01
topo_seq_positive	TOPO-seq positives	TOPO_positive	sequence_baseline	Sequence baseline	rank_sequence_low_mismatch_stable	50	1000	0.01498	0.01	0.012064209263152941	0.0	0.04
topo_seq_positive	TOPO-seq positives	TOPO_positive	sequence_baseline	Sequence baseline	rank_sequence_low_mismatch_stable	100	1000	0.03258	0.03	0.01770471849697299	0.0	0.07
topo_seq_positive	TOPO-seq positives	TOPO_positive	sequence_baseline	Sequence baseline	rank_sequence_low_mismatch_stable	500	1000	0.11356000000000001	0.11	0.03102077833789296	0.05975000000000001	0.18
topo_seq_positive	TOPO-seq positives	TOPO_positive	sequence_baseline	Sequence baseline	rank_sequence_low_mismatch_stable	1000	1000	0.20432	0.2	0.03918255827371245	0.13	0.28
topo_seq_positive	TOPO-seq positives	TOPO_positive	integrated_heuristic	Integrated heuristic	rank_low_mismatch_then_atlas_light	10	1000	0.00147	0.0	0.0038670472009084715	0.0	0.01
topo_seq_positive	TOPO-seq positives	TOPO_positive	integrated_heuristic	Integrated heuristic	rank_low_mismatch_then_atlas_light	50	1000	0.01445	0.01	0.011791375515033712	0.0	0.04
topo_seq_positive	TOPO-seq positives	TOPO_positive	integrated_heuristic	Integrated heuristic	rank_low_mismatch_then_atlas_light	100	1000	0.02944	0.03	0.016600059095134637	0.0	0.07
topo_seq_positive	TOPO-seq positives	TOPO_positive	integrated_heuristic	Integrated heuristic	rank_low_mismatch_then_atlas_light	500	1000	0.10725	0.11	0.03096281957761916	0.05	0.17
topo_seq_positive	TOPO-seq positives	TOPO_positive	integrated_heuristic	Integrated heuristic	rank_low_mismatch_then_atlas_light	1000	1000	0.2003	0.2	0.03914130863987613	0.13	0.28
topo_seq_positive	TOPO-seq positives	TOPO_positive	supervised_atlas_model	Supervised atlas model	rank_hgb_all_pu_oof	10	1000	0.00273	0.0	0.004987180763915821	0.0	0.01
topo_seq_positive	TOPO-seq positives	TOPO_positive	supervised_atlas_model	Supervised atlas model	rank_hgb_all_pu_oof	50	1000	0.015710000000000002	0.01	0.011951516169036409	0.0	0.04
topo_seq_positive	TOPO-seq positives	TOPO_positive	supervised_atlas_model	Supervised atlas model	rank_hgb_all_pu_oof	100	1000	0.03325	0.03	0.01685293806793113	0.0	0.07
topo_seq_positive	TOPO-seq positives	TOPO_positive	supervised_atlas_model	Supervised atlas model	rank_hgb_all_pu_oof	500	1000	0.12029000000000001	0.12	0.031850122924885725	0.06	0.19
topo_seq_positive	TOPO-seq positives	TOPO_positive	supervised_atlas_model	Supervised atlas model	rank_hgb_all_pu_oof	1000	1000	0.23217000000000002	0.23	0.04062809055003377	0.15975000000000003	0.32
