rank_col	assigned_role	reason	practical_rows	max_delta_recall_vs_low_mismatch	mean_delta_recall_vs_low_mismatch	min_delta_recall_vs_low_mismatch	max_delta_recall_vs_high_random	mean_delta_recall_vs_high_random	all_positive_top100_atlas_obs	all_positive_top100_low_obs	all_positive_top1000_atlas_obs	all_positive_top1000_low_obs	TOPO_top1000_atlas_obs	TOPO_top1000_low_obs	BE_top1000_atlas_obs	BE_top1000_low_obs
rank_atlas_light_context_only	CONTEXT_ONLY_DO_NOT_RANK	Atlas-only rank has weak top-K positive recovery and should be used for explanation/context only.	15	-0.0001388117712382	-0.0044925227936236	-0.022180652057723	0.0034829859255301	0.000179735095211	0.0	15.0	7.0	43.0	3.0	8.0	4.0	16.0
rank_high_mismatch_then_accessibility	DO_NOT_USE_FOR_HIGH_MISMATCH_RESCUE	Does not robustly beat high-mismatch random tie baseline: max_delta_high_random=0.0008513788635943; mean_delta_high_random=-4.381429162530117e-05.	15	9.25411808255367e-05	-0.00471607218046	-0.02618920363442	0.0008513788635943	-4.381429162530117e-05	1.0	15.0	11.0	43.0	10.0	8.0	1.0	16.0
rank_high_mismatch_then_atlas_light	DO_NOT_USE_FOR_HIGH_MISMATCH_RESCUE	Does not robustly beat high-mismatch random tie baseline: max_delta_high_random=0.0006413682522715; mean_delta_high_random=-0.00016789213320026267.	15	-0.0001388117712382	-0.004840150022035	-0.0253874933190806	0.0006413682522715	-0.0001678921332002	0.0	15.0	7.0	43.0	3.0	8.0	4.0	16.0
rank_high_mismatch_then_qc_clean	DO_NOT_USE_FOR_HIGH_MISMATCH_RESCUE	Does not robustly beat high-mismatch random tie baseline: max_delta_high_random=0.0006413682522715; mean_delta_high_random=-0.00014983697792444415.	15	-0.0001388117712382	-0.0048220948667592	-0.0256547300908604	0.0006413682522715	-0.0001498369779244	0.0	15.0	6.0	43.0	2.0	8.0	4.0	16.0
rank_low_mismatch_then_atlas_light	WEAK_LOW_MISMATCH_TIEBREAKER_EXPERIMENTAL_ONLY	Small top100 improvement but weak broad recall gain: all100_delta_obs=4.0; max_delta_low=0.0010689470871192; mean_delta_low=0.00021387632723036569; hurts_low=0.	15	0.0010689470871192	0.0002138763272303	-3.9281926385661926e-05	0.0267325850703724	0.0048861342160651	19.0	15.0	42.0	43.0	8.0	8.0	16.0	16.0
