baseline	k	label	seeds	observed_label_rows_mean	observed_label_rows_sd	observed_label_rows_min	observed_label_rows_q05	observed_label_rows_median	observed_label_rows_q95	observed_label_rows_max	recall_mean	recall_sd	fraction_mean	fraction_sd
high_mismatch_random_ties	10000	any_assay_labeled	30	597.7333333333333	19.09311725299935	544	571.35	598.5	626.1	630	0.0038065155693109	0.0001215897525488	0.0597733333333333	0.0019093117252999
high_mismatch_random_ties	50000	BE_positive	30	76.3	8.5102372429348	59	63.9	76.0	88.19999999999999	98	0.0203901656867985	0.002274248327882	0.001526	0.0001702047448586
high_mismatch_random_ties	50000	CRISPRoffT_negative	30	4.033333333333333	2.059181848467364	0	2.0	4.0	7.649999999999991	9	0.0080828323313293	0.0041266169307963	8.066666666666667e-05	4.1183636969347285e-05
high_mismatch_random_ties	50000	CRISPRoffT_positive	30	0.3333333333333333	0.4794633014853841	0	0.0	0.0	1.0	1	0.0032362459546925	0.0046549835095668	6.666666666666667e-06	9.589266029707683e-06
high_mismatch_random_ties	50000	TOPO_positive	30	507.03333333333336	20.727265623566566	457	472.85	508.0	536.65	538	0.0234607316922697	0.0009590628180439	0.0101406666666666	0.0004145453124713
high_mismatch_random_ties	50000	all_positive	30	583.6666666666666	20.21152510639502	538	545.8	586.5	614.1	615	0.0229275510337693	0.0007939476413715	0.0116733333333333	0.0004042305021279
high_mismatch_random_ties	50000	any_assay_labeled	30	2987.4666666666667	45.06832616137977	2920	2920.9	2984.5	3059.4	3124	0.0190249359460142	0.0002870063883829	0.0597493333333333	0.0009013665232275
high_mismatch_random_ties	100000	BE_positive	30	153.7	9.58500984835714	136	138.0	156.0	166.1	173	0.0410742918225547	0.0025614670893525	0.001537	9.585009848357144e-05
high_mismatch_random_ties	100000	CRISPRoffT_negative	30	9.7	2.6800669060099334	5	6.0	9.5	14.0	14	0.019438877755511	0.0053708755631461	9.7e-05	2.6800669060099326e-05
high_mismatch_random_ties	100000	CRISPRoffT_positive	30	0.7	0.7022132498578064	0	0.0	1.0	2.0	2	0.0067961165048543	0.0068176043675515	7e-06	7.022132498578064e-06
high_mismatch_random_ties	100000	TOPO_positive	30	1009.8666666666668	33.34432002846839	907	954.95	1011.5	1052.65	1056	0.0467271269048059	0.0015428613746283	0.0100986666666666	0.0003334432002846
high_mismatch_random_ties	100000	all_positive	30	1164.2666666666669	36.021002813333254	1065	1101.65	1172.0	1213.3	1229	0.0457346374932893	0.0014149743808513	0.0116426666666666	0.0003602100281333
high_mismatch_random_ties	100000	any_assay_labeled	30	5962.3	68.08015053267522	5803	5857.3	5962.5	6041.25	6154	0.0379694196613364	0.0004335514493034	0.059623	0.0006808015053267
low_mismatch_random_ties	100	BE_positive	30	3.633333333333333	1.3256965204630415	1	1.4500000000000002	4.0	6.0	6	0.0009709602707999	0.0003542748584882	0.0363333333333333	0.0132569652046304
low_mismatch_random_ties	100	CRISPRoffT_negative	30	0.3	0.466091599699399	0	0.0	0.0	1.0	1	0.0006012024048096	0.0009340513020028	0.003	0.0046609159969939
low_mismatch_random_ties	100	CRISPRoffT_positive	30	4.233333333333333	1.7749858344909906	0	2.0	4.0	7.549999999999997	8	0.0411003236245954	0.0172328721795241	0.0423333333333333	0.0177498583449099
low_mismatch_random_ties	100	TOPO_positive	30	2.4	1.2205143065174586	0	1.0	2.0	4.0	5	0.0001110494169905	5.6473917569751e-05	0.024	0.0122051430651745
low_mismatch_random_ties	100	all_positive	30	10.266666666666667	2.303420744552932	7	7.45	10.0	14.0	16	0.0004032944442262	9.048280412275332e-05	0.1026666666666666	0.0230342074455293
low_mismatch_random_ties	100	any_assay_labeled	30	22.8	3.595015706646423	17	18.45	22.0	29.55	31	0.0001451961102726	2.289396039359878e-05	0.228	0.0359501570664642
low_mismatch_random_ties	500	BE_positive	30	10.0	0.0	10	10.0	10.0	10.0	10	0.0026723677177979	0.0	0.02	0.0
low_mismatch_random_ties	500	CRISPRoffT_negative	30	1.0	0.0	1	1.0	1.0	1.0	1	0.002004008016032	0.0	0.002	0.0
low_mismatch_random_ties	500	CRISPRoffT_positive	30	13.0	0.0	13	13.0	13.0	13.0	13	0.1262135922330097	0.0	0.026	0.0
low_mismatch_random_ties	500	TOPO_positive	30	6.0	0.0	6	6.0	6.0	6.0	6	0.0002776235424764	0.0	0.012	0.0
low_mismatch_random_ties	500	all_positive	30	29.0	0.0	29	29.0	29.0	29.0	29	0.0011391758651844	0.0	0.058	0.0
low_mismatch_random_ties	500	any_assay_labeled	30	70.03333333333333	1.0333518722845667	68	68.0	70.0	71.0	72	0.0004459898065537	6.580643526256731e-06	0.1400666666666666	0.0020667037445691
low_mismatch_random_ties	1000	BE_positive	30	15.233333333333333	0.8583598366625752	13	14.0	15.0	16.0	16	0.0040709068234455	0.0002293853117751	0.0152333333333333	0.0008583598366625
low_mismatch_random_ties	1000	CRISPRoffT_negative	30	2.533333333333333	0.6288102248298564	1	1.4500000000000002	3.0	3.0	3	0.0050768203072812	0.0012601407311219	0.0025333333333333	0.0006288102248298
low_mismatch_random_ties	1000	CRISPRoffT_positive	30	18.166666666666668	0.791477593876918	16	17.0	18.0	19.0	19	0.1763754045307443	0.0076842484842419	0.0181666666666666	0.0007914775938769
low_mismatch_random_ties	1000	TOPO_positive	30	7.733333333333333	0.4497764451088037	7	7.0	8.0	8.0	8	0.0003578258991918	2.0811421668924845e-05	0.0077333333333333	0.0004497764451088
low_mismatch_random_ties	1000	all_positive	30	41.13333333333333	1.195778013458712	38	39.45	41.0	43.0	43	0.0016157965719972	4.69724638982878e-05	0.0411333333333333	0.0011957780134587
low_mismatch_random_ties	1000	any_assay_labeled	30	202.2333333333333	3.3700847562587803	194	197.0	202.5	207.0	208	0.0012878725161169	2.146154376744922e-05	0.2022333333333333	0.0033700847562587
low_mismatch_random_ties	5000	BE_positive	30	76.8	0.9247553264475442	76	76.0	77.0	78.55	79	0.0205237840726884	0.000247128628126	0.01536	0.0001849510652895
low_mismatch_random_ties	5000	CRISPRoffT_negative	30	55.2	0.4842341981115022	55	55.0	55.0	56.0	57	0.1106212424849699	0.0009704092146523	0.01104	9.684683962230093e-05
low_mismatch_random_ties	5000	CRISPRoffT_positive	30	40.1	0.3051285766293651	40	40.0	40.0	41.0	41	0.3893203883495146	0.0029624133653336	0.00802	6.102571532587311e-05
low_mismatch_random_ties	5000	TOPO_positive	30	74.8	1.095445115010332	73	73.0	75.0	76.55	77	0.0034610401628724	5.068689223627288e-05	0.01496	0.000219089023002
low_mismatch_random_ties	5000	all_positive	30	191.7	1.55696433197247	189	189.0	192.0	194.0	195	0.0075303452881329	6.116055827365645e-05	0.03834	0.0003113928663944
low_mismatch_random_ties	5000	any_assay_labeled	30	2080.9333333333334	3.894588051637058	2073	2074.0	2082.0	2086.55	2087	0.0132519046375722	2.480171211455884e-05	0.4161866666666666	0.0007789176103274
low_mismatch_random_ties	10000	BE_positive	30	112.33333333333331	5.074162634049248	101	104.35	113.0	119.55	122	0.0300195973632638	0.0013560028418089	0.0112333333333333	0.0005074162634049
