label	mm_eq5	mm_eq6	mm_ge5	mm_le4	mm_le6	mm_eq5_percent	mm_eq6_percent	mm_ge5_percent	mm_le4_percent	mm_le6_percent
BE_positive	0.2332977017637627	0.6704970603955104	0.9037947621592732	0.0962052378407268	1.0	23.329770176376268	67.04970603955104	90.37947621592733	9.62052378407268	100.0
CRISPRoffT_negative	0.2845691382765531	0.2905811623246493	0.5751503006012024	0.4248496993987976	1.0	28.45691382765531	29.058116232464933	57.51503006012024	42.48496993987976	100.0
CRISPRoffT_positive	0.1262135922330097	0.116504854368932	0.2427184466019417	0.7572815533980582	1.0	12.62135922330097	11.6504854368932	24.27184466019417	75.72815533980582	100.0
TOPO_positive	0.1990098093651675	0.7624467888210253	0.9614565981861928	0.0385434018138071	1.0	19.90098093651675	76.24467888210253	96.14565981861928	3.85434018138071	100.0
all_positive	0.20375535216247	0.7463173194013435	0.9500726715638136	0.0499273284361865	1.0	20.375535216247	74.63173194013434	95.00726715638136	4.99273284361865	100.0
any_assay_labeled	0.2818460284406065	0.6230441510803737	0.9048901795209802	0.0951098204790198	1.0	28.18460284406065	62.30441510803737	90.489017952098	9.51098204790198	100.0
