bucket	label	candidate_rows	observed_label_rows	observed_label_fraction_in_bucket	recall_of_observed_label	guides_with_label	observed_label_fraction_in_bucket_percent	recall_of_observed_label_percent
mm_le4	all_positive	47256	1271	0.0268960555273404	0.0499273284361865	33	2.68960555273404	4.99273284361865
mm_le4	TOPO_positive	47256	833	0.0176273912307431	0.0385434018138071	6	1.76273912307431	3.85434018138071
mm_le4	BE_positive	47256	360	0.0076180802437785	0.0962052378407268	11	0.76180802437785	9.62052378407268
mm_le4	CRISPRoffT_positive	47256	78	0.0016505840528186	0.7572815533980582	16	0.16505840528186	75.72815533980582
mm_le4	CRISPRoffT_negative	47256	212	0.0044862028102251	0.4248496993987976	15	0.4486202810225099	42.48496993987976
mm_le4	any_assay_labeled	47256	14935	0.3160445234467581	0.0951098204790198	75	31.60445234467581	9.51098204790198
mm_le6	all_positive	1961227	25457	0.0129801394739109	1.0	33	1.29801394739109	100.0
mm_le6	TOPO_positive	1961227	21612	0.0110196320976613	1.0	6	1.10196320976613	100.0
mm_le6	BE_positive	1961227	3742	0.0019079892332708	1.0	11	0.1907989233270799	100.0
mm_le6	CRISPRoffT_positive	1961227	103	5.251814297885966e-05	1.0	16	0.0052518142978859	100.0
mm_le6	CRISPRoffT_negative	1961227	499	0.0002544325567616	1.0	19	0.02544325567616	100.0
mm_le6	any_assay_labeled	1961227	157029	0.0800667133381296	1.0	84	8.00667133381296	100.0
mm_eq5	all_positive	276171	5187	0.0187818416850429	0.20375535216247	20	1.8781841685042904	20.375535216247
mm_eq5	TOPO_positive	276171	4301	0.0155736844201599	0.1990098093651675	6	1.55736844201599	19.90098093651675
mm_eq5	BE_positive	276171	873	0.003161084979958	0.2332977017637627	10	0.3161084979958	23.329770176376268
mm_eq5	CRISPRoffT_positive	276171	13	4.70722849249197e-05	0.1262135922330097	4	0.0047072284924919	12.62135922330097
mm_eq5	CRISPRoffT_negative	276171	142	0.0005141741891798	0.2845691382765531	16	0.05141741891798	28.45691382765531
mm_eq5	any_assay_labeled	276171	44258	0.160255783554392	0.2818460284406065	78	16.025578355439198	28.18460284406065
mm_eq6	all_positive	1637800	18999	0.0116003174990841	0.7463173194013435	22	1.1600317499084098	74.63173194013434
mm_eq6	TOPO_positive	1637800	16478	0.0100610575161802	0.7624467888210253	6	1.00610575161802	76.24467888210253
mm_eq6	BE_positive	1637800	2509	0.0015319330809622	0.6704970603955104	10	0.15319330809622	67.04970603955104
mm_eq6	CRISPRoffT_positive	1637800	12	7.3269019416290146e-06	0.116504854368932	6	0.0007326901941629	11.6504854368932
mm_eq6	CRISPRoffT_negative	1637800	145	8.853339846135059e-05	0.2905811623246493	13	0.008853339846135	29.058116232464933
mm_eq6	any_assay_labeled	1637800	97836	0.0597362315301013	0.6230441510803737	73	5.97362315301013	62.30441510803737
mm_ge5	all_positive	1913971	24186	0.0126365550993196	0.9500726715638136	23	1.26365550993196	95.00726715638136
mm_ge5	TOPO_positive	1913971	20779	0.0108564863312976	0.9614565981861928	6	1.08564863312976	96.14565981861928
mm_ge5	BE_positive	1913971	3382	0.0017670069191225	0.9037947621592732	10	0.17670069191225	90.37947621592733
mm_ge5	CRISPRoffT_positive	1913971	25	1.3061848899486984e-05	0.2427184466019417	7	0.0013061848899486	24.27184466019417
mm_ge5	CRISPRoffT_negative	1913971	287	0.0001499500253661	0.5751503006012024	18	0.01499500253661	57.51503006012024
mm_ge5	any_assay_labeled	1913971	142094	0.0742404143009481	0.9048901795209802	81	7.42404143009481	90.489017952098
