label	rows	observed_label_rows	observed_label_fraction	recall_of_observed_label	guides_with_label	baseline	k	candidate_scope
CRISPRoffT_positive	500	0	0.0	0.0	0	high_mismatch_first_stable_tiebreak	500	global_topk
CRISPRoffT_negative	500	0	0.0	0.0	0	high_mismatch_first_stable_tiebreak	500	global_topk
any_assay_labeled	500	31	0.062	0.0001974157639671	19	high_mismatch_first_stable_tiebreak	500	global_topk
all_positive	1000	16	0.016	0.0006285108221707	10	high_mismatch_first_stable_tiebreak	1000	global_topk
TOPO_positive	1000	12	0.012	0.0005552470849528	6	high_mismatch_first_stable_tiebreak	1000	global_topk
BE_positive	1000	4	0.004	0.0010689470871191	4	high_mismatch_first_stable_tiebreak	1000	global_topk
CRISPRoffT_positive	1000	0	0.0	0.0	0	high_mismatch_first_stable_tiebreak	1000	global_topk
CRISPRoffT_negative	1000	0	0.0	0.0	0	high_mismatch_first_stable_tiebreak	1000	global_topk
any_assay_labeled	1000	57	0.057	0.0003629902756815	27	high_mismatch_first_stable_tiebreak	1000	global_topk
all_positive	5000	63	0.0126	0.0024747613622972	10	high_mismatch_first_stable_tiebreak	5000	global_topk
TOPO_positive	5000	53	0.0106	0.0024523412918748	6	high_mismatch_first_stable_tiebreak	5000	global_topk
BE_positive	5000	10	0.002	0.0026723677177979	4	high_mismatch_first_stable_tiebreak	5000	global_topk
CRISPRoffT_positive	5000	0	0.0	0.0	0	high_mismatch_first_stable_tiebreak	5000	global_topk
CRISPRoffT_negative	5000	2	0.0004	0.0040080160320641	2	high_mismatch_first_stable_tiebreak	5000	global_topk
any_assay_labeled	5000	297	0.0594	0.0018913703838144	43	high_mismatch_first_stable_tiebreak	5000	global_topk
all_positive	10000	116	0.0116	0.0045567034607377	11	high_mismatch_first_stable_tiebreak	10000	global_topk
TOPO_positive	10000	101	0.0101	0.0046733296316861	6	high_mismatch_first_stable_tiebreak	10000	global_topk
BE_positive	10000	15	0.0015	0.0040085515766969	5	high_mismatch_first_stable_tiebreak	10000	global_topk
CRISPRoffT_positive	10000	0	0.0	0.0	0	high_mismatch_first_stable_tiebreak	10000	global_topk
CRISPRoffT_negative	10000	2	0.0002	0.0040080160320641	2	high_mismatch_first_stable_tiebreak	10000	global_topk
any_assay_labeled	10000	576	0.0576	0.0036681122595189	49	high_mismatch_first_stable_tiebreak	10000	global_topk
all_positive	50000	592	0.01184	0.0232549004203166	15	high_mismatch_first_stable_tiebreak	50000	global_topk
TOPO_positive	50000	523	0.01046	0.0241995187858597	6	high_mismatch_first_stable_tiebreak	50000	global_topk
BE_positive	50000	69	0.00138	0.0184393372528059	9	high_mismatch_first_stable_tiebreak	50000	global_topk
CRISPRoffT_positive	50000	0	0.0	0.0	0	high_mismatch_first_stable_tiebreak	50000	global_topk
CRISPRoffT_negative	50000	3	6e-05	0.0060120240480961	3	high_mismatch_first_stable_tiebreak	50000	global_topk
any_assay_labeled	50000	2939	0.05878	0.0187162880741773	58	high_mismatch_first_stable_tiebreak	50000	global_topk
all_positive	100000	1189	0.01189	0.0467062104725615	17	high_mismatch_first_stable_tiebreak	100000	global_topk
TOPO_positive	100000	1045	0.01045	0.0483527669813066	6	high_mismatch_first_stable_tiebreak	100000	global_topk
BE_positive	100000	142	0.00142	0.0379476215927311	9	high_mismatch_first_stable_tiebreak	100000	global_topk
CRISPRoffT_positive	100000	2	2e-05	0.0194174757281553	2	high_mismatch_first_stable_tiebreak	100000	global_topk
CRISPRoffT_negative	100000	7	7e-05	0.0140280561122244	5	high_mismatch_first_stable_tiebreak	100000	global_topk
any_assay_labeled	100000	5866	0.05866	0.0373561571429481	61	high_mismatch_first_stable_tiebreak	100000	global_topk
