bucket	label	candidate_rows	observed_label_rows	observed_label_fraction_in_bucket	recall_of_observed_label	guides_with_label
mm_le4	TOPO_positive	47256	833	0.0176273912307431	0.0385434018138071	6
mm_le4	BE_positive	47256	360	0.0076180802437785	0.0962052378407268	11
mm_le4	CRISPRoffT_positive	47256	78	0.0016505840528186	0.7572815533980582	16
mm_eq5	TOPO_positive	276171	4301	0.0155736844201599	0.1990098093651675	6
mm_eq5	BE_positive	276171	873	0.003161084979958	0.2332977017637627	10
mm_eq5	CRISPRoffT_positive	276171	13	4.70722849249197e-05	0.1262135922330097	4
mm_eq6	TOPO_positive	1637800	16478	0.0100610575161802	0.7624467888210253	6
mm_eq6	BE_positive	1637800	2509	0.0015319330809622	0.6704970603955104	10
mm_eq6	CRISPRoffT_positive	1637800	12	7.3269019416290146e-06	0.116504854368932	6
